numberOfFreePositions;averageLivedDays;bestGenome;averageEnergy;averageNumberOfChildren;numberOfAnimals;numberOfGrass;
648;0,00;5571104;19,73;0,00;15;13;
643;0,00;5571104;18,73;0,00;15;18;
638;0,00;5571104;17,73;0,00;15;23;
633;0,00;5571104;16,73;0,00;15;28;
629;0,00;5571104;16,47;0,00;15;32;
625;0,00;5571104;16,20;0,00;15;36;
620;0,00;5571104;15,20;0,00;15;41;
617;0,00;5571104;15,67;0,00;15;44;
614;0,00;5571104;16,13;0,00;15;47;
609;0,00;5571104;15,13;0,00;15;52;
605;0,00;5571104;14,87;0,00;15;56;
600;0,00;5571104;13,87;0,00;15;61;
596;0,00;5571104;13,60;0,00;15;65;
592;0,00;5571104;13,33;0,00;15;69;
589;0,00;5571104;13,07;0,00;15;73;
583;0,00;5571104;12,07;0,00;15;78;
578;0,00;5571104;11,07;0,00;15;83;
575;0,00;5571104;11,53;0,00;15;86;
573;0,00;5571104;12,73;0,00;15;88;
571;0,00;5571104;13,93;0,00;15;90;
576;20,00;2065753;25,89;0,00;9;92;
571;20,00;2065753;26,11;0,00;9;96;
570;20,00;2065753;27,56;0,00;9;99;
569;20,00;2065753;31,44;0,00;9;100;
566;20,00;2065753;30,70;0,20;10;102;
562;20,00;2065753;29,00;0,36;11;105;
558;20,00;2065753;31,00;0,36;11;107;
559;21,00;2065753;37,50;0,20;10;108;
555;21,00;2065753;38,70;0,20;10;111;
555;22,00;2065753;46,89;0,11;9;112;
552;22,00;1304705;42,40;0,30;10;116;
548;23,00;1304705;47,33;0,33;9;120;
543;23,00;1304705;47,56;0,33;9;124;
539;23,00;1304705;47,78;0,33;9;128;
536;23,00;1304705;49,22;0,33;9;131;
534;23,00;1304705;51,89;0,33;9;133;
531;23,00;1304705;53,33;0,33;9;136;
528;23,00;1304705;54,78;0,33;9;139;
526;23,00;1304705;56,22;0,33;9;142;
524;23,00;1304705;58,89;0,33;9;144;
522;23,00;1304705;61,56;0,33;9;146;
521;23,00;1304705;63,00;0,33;9;149;
519;26,45;6555724;74,13;0,63;8;151;
519;26,45;6555724;71,11;0,78;9;151;
515;26,45;6555724;73,78;0,78;9;153;
512;26,45;6555724;75,22;0,78;9;156;
512;26,45;6555724;80,33;0,78;9;156;
509;26,45;6555724;81,78;0,78;9;159;
510;26,45;6555724;85,67;0,78;9;160;
506;26,45;6555724;88,33;0,78;9;162;
505;26,45;6255720;81,90;0,90;10;164;
505;28,50;6255720;94,89;0,89;9;165;
502;28,50;6255720;97,56;0,89;9;167;
502;28,50;6255720;103,89;0,89;9;166;
502;28,50;6255720;107,78;0,89;9;167;
502;28,50;6255720;114,11;0,89;9;166;
503;28,50;6255720;120,44;0,89;9;165;
502;28,50;6255720;124,33;0,89;9;166;
501;28,50;6255720;128,22;0,89;9;167;
501;28,50;6255720;117,80;1,00;10;169;
497;28,50;6555724;100,08;1,17;12;171;
495;28,50;6555724;103,67;1,17;12;171;
497;28,50;6555724;109,08;1,17;12;169;
497;28,50;6555724;112,67;1,17;12;169;
497;28,50;6555724;118,08;1,17;12;167;
496;28,50;6555724;120,75;1,17;12;168;
498;28,50;6555724;125,25;1,17;12;167;
498;28,50;6555724;128,83;1,17;12;167;
498;28,50;6555724;121,38;1,23;13;168;
496;28,50;6555724;124,62;1,23;13;168;
502;28,50;6555724;129,54;1,23;13;166;
502;28,50;6555724;124,86;1,29;14;164;
499;28,50;6255724;118,53;1,33;15;165;
498;28,50;6255724;121,93;1,33;15;164;
497;28,50;6255724;123,13;1,33;15;166;
498;28,50;6255724;119,31;1,38;16;164;
497;28,50;6255724;107,00;1,44;18;166;
